id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36524,-71.02936,Entire home/apt,125,30,15,02/22/2019,0.32,1,107
5506,**$99 Special **   Private! Minutes to center!,8229,Terry,,Roxbury,42.32981,-71.09559,Entire home/apt,145,3,86,05/17/2019,0.7,6,156
6695,$99 Special!! Home Away! Condo,8229,Terry,,Roxbury,42.32994,-71.09351,Entire home/apt,169,3,90,05/02/2019,0.76,6,118
6976,Mexican Folk Art Showcase in Boston Neighborhood,16701,Phil,,Roslindale,42.29244,-71.13577,Private room,65,3,77,05/01/2019,0.64,1,70
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Downtown,42.35919,-71.06265,Entire home/apt,99,28,22,12/20/2018,0.38,9,265
10730,Bright 1bed facing Golden Dome,26988,Anne,,Downtown,42.3584,-71.06185,Entire home/apt,150,30,28,03/22/2019,0.24,9,291
10811,Back Bay Studio on Marlborough St-,38997,Michelle,,Back Bay,42.34973,-71.08792,Entire home/apt,179,1,7,09/30/2018,0.17,9,353
10813,Back Bay Apt Studio-,38997,Michelle,,Back Bay,42.34961,-71.08904,Entire home/apt,179,3,65,05/15/2019,1.79,9,0
10986,Waterfront Furnished Apt,38997,Michelle,,North End,42.36352,-71.05075,Entire home/apt,125,30,2,05/23/2016,0.05,9,347
18711,The Dorset | 3BR 1BA | 1st Floor,71783,Lance,,Dorchester,42.32329,-71.0621,Entire home/apt,126,2,48,04/29/2019,0.44,25,334
22354,COPLEY SQ...19TH C.TWNHSE SUNNY RM,85770,Robert,,South End,42.34496,-71.07486,Private room,148,2,298,05/03/2019,3.14,4,65
24240,"The Golden Slipper B&B Afloat, 2 bed/2 bath",97821,Gretchen,,North End,42.36366,-71.05023,Entire home/apt,275,2,82,10/25/2018,0.78,1,266
27546,L'Auberge Espagnole  /room H,119019,Hermina,,Dorchester,42.29835,-71.0591,Private room,55,1,234,09/01/2018,2.14,9,161
27611,One Bedroom Studio Garden Apartment,119381,Gordon And Alexandra,,Jamaica Plain,42.31557,-71.11483,Entire home/apt,195,3,16,05/05/2019,0.26,1,350
29765,"Luxury suite, Moroccan furnishings",128280,Elizabeth,,Charlestown,42.37834,-71.06663,Entire home/apt,221,2,93,10/21/2018,0.85,3,177
31796,Big room with two bed/Room A,119019,Hermina,,Dorchester,42.29977,-71.06048,Private room,43,1,414,04/16/2019,3.81,9,51
36885,A Cozy Corner of Boston,159160,Deborah,,Fenway,42.34633,-71.08832,Entire home/apt,165,4,150,10/17/2018,1.39,1,0
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.3151,-71.11108,Private room,95,6,73,03/11/2019,0.69,1,206
44205,Elegance at Salem Street Court,128280,Elizabeth,,Charlestown,42.37655,-71.06677,Entire home/apt,184,2,82,04/16/2019,0.77,3,181
45987,Gorgeous Garden Studio Charlestown,205107,Atef,,Charlestown,42.37404,-71.06118,Entire home/apt,125,3,115,05/05/2019,1.08,1,320
47521,Beautiful Victorian House /C,119019,Hermina,,Dorchester,42.29772,-71.05924,Private room,50,1,331,04/17/2019,3.13,9,0
50032,Amazing Design & Detail Throughout!,228845,Jeremy,,Jamaica Plain,42.31591,-71.11276,Entire home/apt,700,3,19,12/26/2018,0.21,1,290
57156,3 Room Cottage in Boston,271947,Bill,,Dorchester,42.31004,-71.04942,Entire home/apt,105,5,42,09/03/2018,0.43,1,158
60029,Room in geographical heart of Hub,255183,Michelle,,Roxbury,42.32584,-71.08927,Private room,75,2,134,04/18/2019,1.31,5,135
60356,Bookcase 1bd facing Boston Common,26988,Anne,,Downtown,42.35712,-71.0618,Entire home/apt,175,28,18,11/05/2018,0.27,9,176
66288,Architects Live-in Studio in Boston,324630,Sean,,Mission Hill,42.33215,-71.10674,Entire home/apt,79,1,650,05/02/2019,6.4,1,30
67774,Corner 1 bed facing Golden Dome,26988,Anne,,Beacon Hill,42.35867,-71.06332,Entire home/apt,110,28,43,12/10/2018,0.54,9,165
69369,Room in Boston off the beaten path,255183,Michelle,,Roxbury,42.32614,-71.0884,Private room,79,2,106,04/16/2019,1.09,5,319
77681,Waterfall Room: Bunker Hill B&B,416912,Christiane,,Charlestown,42.37853,-71.06177,Private room,140,2,39,05/05/2019,0.42,1,365
77691,Beautiful Victorian House /Room B,119019,Hermina,,Dorchester,42.29771,-71.05979,Private room,65,1,320,01/05/2019,3.2,9,3
91588,Sunny Private Bedroom. 7 minute walk to Redline T.,494453,Dave,,Dorchester,42.31358,-71.04697,Private room,68,1,162,05/10/2019,1.66,2,22
95453,Royal Street Studio: Allston,508268,Richard,,Allston,42.35937,-71.13156,Entire home/apt,175,5,34,05/12/2019,0.35,1,355
118905,Lotus (Luxury apartment),434539,Brahma,,East Boston,42.37933,-71.03376,Entire home/apt,325,7,23,03/29/2018,0.24,2,364
160572,Single Family Home,766862,Nicole,,South Boston,42.33324,-71.042,Entire home/apt,495,3,8,09/07/2018,0.09,1,65
163941,$119* SPECIAL* 2 bed ApT! Location!,8229,Terry,,Roxbury,42.32965,-71.09503,Entire home/apt,225,3,209,05/04/2019,2.21,6,145
164418,Comfortable room in quiet area of Boston,784237,Carlos,,West Roxbury,42.29512,-71.14877,Private room,65,5,39,10/15/2016,0.42,1,177
169430,Stylish + Comfortable Urban Victorian,807320,Kate,,Roxbury,42.32158,-71.09047,Entire home/apt,200,2,135,05/06/2019,1.43,1,11
169938,Gorgeous Boston Loft Style Condo!,809859,Lisa,,Jamaica Plain,42.31379,-71.10339,Entire home/apt,174,3,0,,,1,140
170715,Classic Back Bay Marlborough |1BR 1BA #3,814298,Brent,,Back Bay,42.35178,-71.08457,Entire home/apt,200,2,50,11/08/2018,0.55,89,0
177129,Comfort in Historic Melville Park 1,847253,Susan,,Dorchester,42.29343,-71.06773,Private room,59,2,180,05/13/2019,1.91,3,328
179244,Room in Beautiful Townhouse /G,119019,Hermina,,Dorchester,42.2978,-71.05893,Private room,75,1,92,08/18/2018,0.98,9,71
179245,Room in Beautiful Townhouse /F,119019,Hermina,,Dorchester,42.29915,-71.05879,Private room,65,1,60,04/30/2019,0.64,9,61
182049,Herbivorian House SkyRama ,434539,Brahma,,East Boston,42.3798,-71.03325,Entire home/apt,300,5,37,10/31/2017,0.39,2,326
182613,Entire 2 BR! Clean condo 3 beds Charlestown Boston,875739,Max,,Charlestown,42.37739,-71.06044,Entire home/apt,169,6,105,12/28/2018,1.11,1,3
196806,"Comfy couch, Centrally located",958639,Larry,,Fenway,42.34452,-71.08684,Shared room,79,3,84,05/14/2019,0.89,1,273
197727,"Great Boston neighborhood , Jamaica Plain",964356,Jill,,Jamaica Plain,42.3132,-71.11832,Private room,85,2,38,12/31/2018,0.41,1,111
197972,Perfect Location--Super Studio!,965697,Chris & Kristina,,Jamaica Plain,42.31732,-71.10834,Entire home/apt,90,2,365,05/09/2019,3.95,2,243
200265,Comfort in Historic Melville Park 2,847253,Susan,,Dorchester,42.29363,-71.06652,Private room,69,2,178,03/30/2019,1.91,3,309
205894,Beautiful Victorian House/Room D,119019,Hermina,,Dorchester,42.29849,-71.0588,Private room,55,1,201,04/17/2019,2.14,9,2
210097,Treetop Haven in the City,1035747,Maria Elena,,Jamaica Plain,42.31864,-71.10641,Entire home/apt,110,3,169,05/13/2019,1.81,1,230
211921,Boston Loft: 7 Skylights!,1092168,Meg,,Roslindale,42.28143,-71.12576,Entire home/apt,300,45,68,06/15/2015,0.74,1,365
217498,"Private bedroom, bath and lounge.",1123263,Deepti & Michael,,Brighton,42.35257,-71.15057,Private room,99,3,168,05/11/2019,1.83,1,291
220676,Private room off the Freedom Trail.,1144302,Howard,,North End,42.36539,-71.05438,Private room,95,2,220,05/12/2019,2.37,1,121
225834,Skyline View to Boston,1176995,Duane,,Roslindale,42.28053,-71.13084,Private room,65,28,53,06/25/2018,0.57,2,322
225979,Cozy Room & Fresh Roasted Coffee,1176995,Duane,,Roslindale,42.28145,-71.12925,Private room,55,28,97,01/31/2019,1.04,2,158
232990,Comfort in Historic Melville Park 3,847253,Susan,,Dorchester,42.2948,-71.06814,Private room,69,2,67,04/16/2019,0.71,3,297
257588,BOSTON LUXURY FOR LESS!!! NEAR BCEC,1355344,Meri,,South Boston,42.33066,-71.03984,Entire home/apt,200,1,283,05/10/2019,3.4,1,174
276450,19th Century Luxury | South End | 1BR 1BA #3,1444340,Will,,Roxbury,42.33814,-71.08001,Entire home/apt,167,2,85,04/13/2019,0.99,46,93
295285,"Single Bedroom, Quiet Neighborhood",1271326,Tom,,West Roxbury,42.28719,-71.16816,Private room,80,1,25,08/16/2018,0.34,1,273
307571,Beacon Hill Floorthrough Brownstone,26988,Anne,,Beacon Hill,42.35881,-71.06547,Entire home/apt,150,30,17,07/30/2018,0.51,9,137
311240,"Upscale Back Bay Studio, River Views",1600541,Marina,,Back Bay,42.35262,-71.08051,Entire home/apt,165,2,182,05/05/2019,2.06,1,127
315982,Beautiful Two BR & Two Bathroom Townhouse,119019,Hermina,,Dorchester,42.29929,-71.05997,Entire home/apt,196,1,214,05/09/2019,2.44,9,71
318050,"South End Room on park by T, Prudential & Back Bay",1632478,Thiago & Niles,,South End,42.3398,-71.07853,Private room,99,2,288,05/05/2019,3.27,1,7
322593,"Chef Kitch, 12 Min to Pru, Patio, Walker'sParadise",1651480,Edward,,South End,42.34349,-71.0768,Entire home/apt,168,3,371,05/12/2019,4.96,5,26
332225,"Beautiful house w/ Hot Tub, Parking & Yard!",1693497,Ken,,Jamaica Plain,42.29129,-71.11396,Entire home/apt,149,2,46,08/20/2017,0.57,1,0
349347,Experience Past|Enjoy Present|South End Studio #2,1444340,Will,,Roxbury,42.33824,-71.08172,Entire home/apt,167,2,93,05/03/2019,1.09,46,131
349409,Family Home in Great Area,1770277,Genevieve,,Jamaica Plain,42.32443,-71.10652,Entire home/apt,250,5,5,08/24/2015,0.06,1,0
377474,Beautiful Victorian House,119019,Hermina,,Dorchester,42.29839,-71.05931,Entire home/apt,385,1,22,09/24/2018,0.27,9,7
381187,Urban home in best JP location w AC,1912147,Pamela,,Jamaica Plain,42.31417,-71.11541,Entire home/apt,375,3,12,10/04/2015,0.14,1,0
400067,Private Room in Spacious Apartment1,1997048,ToRena,,Dorchester,42.30088,-71.0819,Private room,49,3,21,04/18/2017,0.29,3,271
403587,Beautiful 2 bedroom apt sleeps 7,887148,Dawn,,Charlestown,42.38291,-71.06956,Entire home/apt,595,2,2,03/27/2014,0.03,7,365
414419,Back Bay! Best Location in Boston!,2027295,Ravi,,Back Bay,42.35387,-71.07972,Entire home/apt,75,2,520,05/06/2019,6.04,1,53
431434,Boston Brownstone (South Boston),980059,Ben,,South Boston,42.33533,-71.05168,Entire home/apt,200,2,7,06/13/2014,0.08,1,76
442735,South End Brownstone Family Home,1592221,Sarah,,South End,42.34362,-71.06799,Entire home/apt,250,2,63,04/16/2019,0.74,1,35
